49	12	49	49	1	g																																																						
30	5	31	22	24	28	2	17	35	24	39	19	10	14	24	1	20	18	23	24	15	48	12	13	24	42	8	38	3	24	21	9	45	37	24	33	44	29	7	24	34	36	16	26	24	46	49	6	27	24	47	41	40	4	24	32	25	43	11	24
31	6	32	23	25	29	3	18	36	25	40	20	11	15	25	2	21	19	24	25	16	49	13	14	25	43	9	39	4	25	22	10	46	38	25	34	45	30	8	25	35	37	17	27	25	47	1	7	28	25	48	42	41	5	25	33	26	44	12	25
32	7	33	24	26	30	4	19	37	26	41	21	12	16	26	3	22	20	25	26	17	1	14	15	26	44	10	40	5	26	23	11	47	39	26	35	46	31	9	26	36	38	18	28	26	48	2	8	29	26	49	43	42	6	26	34	27	45	13	26
33	8	34	25	27	31	5	20	38	27	42	22	13	17	27	4	23	21	26	27	18	2	15	16	27	45	11	41	6	27	24	12	48	40	27	36	47	32	10	27	37	39	19	29	27	49	3	9	30	27	1	44	43	7	27	35	28	46	14	27
34	9	35	26	28	32	6	21	39	28	43	23	14	18	28	5	24	22	27	28	19	3	16	17	28	46	12	42	7	28	25	13	49	41	28	37	48	33	11	28	38	40	20	30	28	1	4	10	31	28	2	45	44	8	28	36	29	47	15	28
35	10	36	27	29	33	7	22	40	29	44	24	15	19	29	6	25	23	28	29	20	4	17	18	29	47	13	43	8	29	26	14	1	42	29	38	49	34	12	29	39	41	21	31	29	2	5	11	32	29	3	46	45	9	29	37	30	48	16	29
36	11	37	28	30	34	8	23	41	30	45	25	16	20	30	7	26	24	29	30	21	5	18	19	30	48	14	44	9	30	27	15	2	43	30	39	1	35	13	30	40	42	22	32	30	3	6	12	33	30	4	47	46	10	30	38	31	49	17	30
37	12	38	29	31	35	9	24	42	31	46	26	17	21	31	8	27	25	30	31	22	6	19	20	31	49	15	45	10	31	28	16	3	44	31	40	2	36	14	31	41	43	23	33	31	4	7	13	34	31	5	48	47	11	31	39	32	1	18	31
38	13	39	30	32	36	10	25	43	32	47	27	18	22	32	9	28	26	31	32	23	7	20	21	32	1	16	46	11	32	29	17	4	45	32	41	3	37	15	32	42	44	24	34	32	5	8	14	35	32	6	49	48	12	32	40	33	2	19	32
39	14	40	31	33	37	11	26	44	33	48	28	19	23	33	10	29	27	32	33	24	8	21	22	33	2	17	47	12	33	30	18	5	46	33	42	4	38	16	33	43	45	25	35	33	6	9	15	36	33	7	1	49	13	33	41	34	3	20	33
40	15	41	32	34	38	12	27	45	34	49	29	20	24	34	11	30	28	33	34	25	9	22	23	34	3	18	48	13	34	31	19	6	47	34	43	5	39	17	34	44	46	26	36	34	7	10	16	37	34	8	2	1	14	34	42	35	4	21	34
41	16	42	33	35	39	13	28	46	35	1	30	21	25	35	12	31	29	34	35	26	10	23	24	35	4	19	49	14	35	32	20	7	48	35	44	6	40	18	35	45	47	27	37	35	8	11	17	38	35	9	3	2	15	35	43	36	5	22	35
